athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Nijel AMOS,BOT,men_800m,2021,102.91,102.91,0.0,3,1.2979,0.0,27.4
Nijel AMOS,BOT,men_800m,2022,104.92,102.91,2.01,1,0.0,-2.01,27.4
Emmanuel Kipkurui KORIR,KEN,men_800m,2021,103.04,103.04,0.0,9,0.7829,0.0,26.2
Emmanuel Kipkurui KORIR,KEN,men_800m,2022,103.26,103.04,0.22,6,1.1146,-0.22,26.2
Clayton MURPHY,USA,men_800m,2021,103.17,103.17,0.0,11,0.8449,0.0,26.5
Clayton MURPHY,USA,men_800m,2022,105.23,103.17,2.06,3,0.206,-2.06,26.5
Clayton MURPHY,USA,men_800m,2023,104.75,103.17,1.58,2,0.1131,-1.58,26.5
Marco AROP,CAN,men_800m,2021,103.26,103.26,0.0,10,0.6009,0.0,23.0
Marco AROP,CAN,men_800m,2022,103.38,103.26,0.12,8,0.6813,-0.12,23.0
Marco AROP,CAN,men_800m,2023,103.3,103.26,0.04,1,0.0,-0.04,23.0
Emmanuel WANYONYI,KEN,men_800m,2021,103.76,103.27,0.49,2,1.4496,0.0,17.8
Emmanuel WANYONYI,KEN,men_800m,2022,104.01,103.27,0.74,7,0.6486,-0.25,17.8
Emmanuel WANYONYI,KEN,men_800m,2023,103.27,103.27,0.0,3,0.6154,0.49,17.8
Slimane MOULA,ALG,men_800m,2022,104.19,103.38,0.81,9,0.5431,0.0,23.3
Slimane MOULA,ALG,men_800m,2023,103.38,103.38,0.0,1,0.0,0.81,23.3
Djamel SEDJATI,ALG,men_800m,2021,104.91,103.4,1.51,4,0.5117,0.0,23.2
Djamel SEDJATI,ALG,men_800m,2022,103.69,103.4,0.29,6,0.606,1.22,23.2
Djamel SEDJATI,ALG,men_800m,2023,103.4,103.4,0.0,2,0.6152,0.29,23.2
Jesus Tonatiu LOPEZ,MEX,men_800m,2021,103.44,103.44,0.0,5,0.7273,0.0,24.4
Jesus Tonatiu LOPEZ,MEX,men_800m,2022,104.67,103.44,1.23,3,0.3308,-1.23,24.4
Jesus Tonatiu LOPEZ,MEX,men_800m,2023,104.7,103.44,1.26,2,0.8061,-1.26,24.4
Benjamin ROBERT,FRA,men_800m,2021,104.53,103.48,1.05,3,0.7135,0.0,24.5
Benjamin ROBERT,FRA,men_800m,2022,103.75,103.48,0.27,9,0.6637,0.78,24.5
Benjamin ROBERT,FRA,men_800m,2023,103.48,103.48,0.0,3,0.7842,0.27,24.5
Max BURGIN,GBR,men_800m,2021,104.14,103.52,0.62,1,0.0,0.0,20.0
Max BURGIN,GBR,men_800m,2022,103.52,103.52,0.0,3,0.5889,0.62,20.0
Wyclife KINYAMAL,KEN,men_800m,2021,103.91,103.54,0.37,5,0.7122,0.0,25.0
Wyclife KINYAMAL,KEN,men_800m,2022,103.54,103.54,0.0,6,0.6898,0.37,25.0
Wyclife KINYAMAL,KEN,men_800m,2023,103.56,103.54,0.02,4,0.7768,-0.02,25.0
Ferguson Cheruiyot ROTICH,KEN,men_800m,2021,103.57,103.57,0.0,16,0.8011,0.0,31.7
Ferguson Cheruiyot ROTICH,KEN,men_800m,2022,105.16,103.57,1.59,2,0.4243,-1.59,31.7
