athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Trayvon BROMELL,USA,men_100m,2021,9.76,9.76,0.0,16,0.1092,0.0,26.2
Trayvon BROMELL,USA,men_100m,2022,9.81,9.76,0.05,12,0.0813,-0.05,26.2
Trayvon BROMELL,USA,men_100m,2023,10.09,9.76,0.33,2,0.0071,-0.33,26.2
Fred KERLEY,USA,men_100m,2021,9.84,9.76,0.08,18,0.1099,0.0,26.3
Fred KERLEY,USA,men_100m,2022,9.76,9.76,0.0,10,0.0956,0.08,26.3
Fred KERLEY,USA,men_100m,2023,9.88,9.76,0.12,4,0.0287,-0.12,26.3
Ferdinand OMANYALA,KEN,men_100m,2021,9.77,9.77,0.0,14,0.126,0.0,26.4
Ferdinand OMANYALA,KEN,men_100m,2022,9.85,9.77,0.08,20,0.0861,-0.08,26.4
Ferdinand OMANYALA,KEN,men_100m,2023,9.84,9.77,0.07,10,0.0857,-0.07,26.4
Lamont Marcell JACOBS,ITA,men_100m,2021,9.8,9.8,0.0,8,0.094,0.0,26.8
Lamont Marcell JACOBS,ITA,men_100m,2022,9.95,9.8,0.15,6,0.0799,-0.15,26.8
Lamont Marcell JACOBS,ITA,men_100m,2023,10.21,9.8,0.41,1,0.0,-0.41,26.8
Bingtian SU,CHN,men_100m,2021,9.83,9.83,0.0,12,0.1087,0.0,31.9
Bingtian SU,CHN,men_100m,2022,10.15,9.83,0.32,2,0.1061,-0.32,31.9
Ronnie BAKER,USA,men_100m,2021,9.83,9.83,0.0,14,0.115,0.0,27.8
Ronnie BAKER,USA,men_100m,2023,10.01,9.83,0.18,6,0.091,-0.18,27.8
Zharnel HUGHES,GBR,men_100m,2021,9.98,9.83,0.15,5,0.0663,0.0,27.0
Zharnel HUGHES,GBR,men_100m,2022,9.97,9.83,0.14,7,0.069,0.01,27.0
Zharnel HUGHES,GBR,men_100m,2023,9.83,9.83,0.0,6,0.1417,0.14,27.0
Akani SIMBINE,RSA,men_100m,2021,9.84,9.84,0.0,13,0.1142,0.0,28.8
Akani SIMBINE,RSA,men_100m,2022,9.97,9.84,0.13,15,0.0701,-0.13,28.8
Akani SIMBINE,RSA,men_100m,2023,9.92,9.84,0.08,10,0.0818,-0.08,28.8
Marvin BRACY,USA,men_100m,2021,9.85,9.85,0.0,15,0.0984,0.0,27.7
Marvin BRACY-WILLIAMS,USA,men_100m,2022,9.85,9.85,0.0,13,0.1051,0.0,28.6
Marvin BRACY-WILLIAMS,USA,men_100m,2023,9.93,9.85,0.08,6,0.1063,-0.08,28.6
Yohan BLAKE,JAM,men_100m,2021,9.95,9.85,0.1,11,0.1091,0.0,32.4
Yohan BLAKE,JAM,men_100m,2022,9.85,9.85,0.0,17,0.1133,0.1,32.4
Yohan BLAKE,JAM,men_100m,2023,10.05,9.85,0.2,4,0.058,-0.2,32.4
Oblique SEVILLE,JAM,men_100m,2021,10.04,9.86,0.18,8,0.0703,0.0,21.1
Oblique SEVILLE,JAM,men_100m,2022,9.86,9.86,0.0,12,0.1547,0.18,21.1
Oblique SEVILLE,JAM,men_100m,2023,9.95,9.86,0.09,4,0.0772,-0.09,21.1
Micah WILLIAMS,USA,men_100m,2021,9.91,9.86,0.05,7,0.0722,0.0,20.5
Micah WILLIAMS,USA,men_100m,2022,9.86,9.86,0.0,11,0.1381,0.05,20.5
Micah WILLIAMS,USA,men_100m,2023,9.99,9.86,0.13,5,0.0926,-0.13,20.5
Christian COLEMAN,USA,men_100m,2022,9.87,9.87,0.0,11,0.0903,0.0,26.4
Christian COLEMAN,USA,men_100m,2023,9.91,9.87,0.04,3,0.0666,-0.04,26.4
Isiah YOUNG,USA,men_100m,2021,9.89,9.89,0.0,13,0.101,0.0,31.5
Isiah YOUNG,USA,men_100m,2022,10.1,9.89,0.21,8,0.0743,-0.21,31.5
Kenneth BEDNAREK,USA,men_100m,2021,9.89,9.89,0.0,4,0.0793,0.0,23.6
Kenneth BEDNAREK,USA,men_100m,2022,9.95,9.89,0.06,6,0.1034,-0.06,23.6
Kenneth BEDNAREK,USA,men_100m,2023,9.98,9.89,0.09,1,0.0,-0.09,23.6
Andre DE GRASSE,CAN,men_100m,2021,9.89,9.89,0.0,11,0.1213,0.0,26.8
