athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Shericka JACKSON,JAM,women_200m,2021,21.81,21.45,0.36,12,0.4981,0.0,27.2
Shericka JACKSON,JAM,women_200m,2022,21.45,21.45,0.0,9,0.4088,0.36,27.2
Shericka JACKSON,JAM,women_200m,2023,21.98,21.45,0.53,1,0.0,-0.53,27.2
Elaine THOMPSON-HERAH,JAM,women_200m,2021,21.53,21.53,0.0,7,0.5516,0.0,29.9
Elaine THOMPSON-HERAH,JAM,women_200m,2022,21.97,21.53,0.44,10,0.2871,-0.44,29.9
Elaine THOMPSON-HERAH,JAM,women_200m,2023,23.23,21.53,1.7,1,0.0,-1.7,29.9
Gabrielle THOMAS,USA,women_200m,2021,21.61,21.61,0.0,9,0.4787,0.0,25.4
Gabrielle THOMAS,USA,women_200m,2022,21.98,21.61,0.37,7,0.3091,-0.37,25.4
Gabrielle THOMAS,USA,women_200m,2023,22.05,21.61,0.44,4,0.3486,-0.44,25.4
Abby STEINER,USA,women_200m,2021,22.79,21.77,1.02,1,0.0,0.0,22.6
Abby STEINER,USA,women_200m,2022,21.77,21.77,0.0,13,0.2079,1.02,22.6
Abby STEINER,USA,women_200m,2023,22.19,21.77,0.42,4,0.0676,-0.42,22.6
Christine MBOMA,NAM,women_200m,2021,21.78,21.78,0.0,13,0.4643,0.0,18.3
Christine MBOMA,NAM,women_200m,2022,21.87,21.78,0.09,5,0.5637,-0.09,18.3
Shelly-Ann FRASER-PRYCE,JAM,women_200m,2021,21.79,21.79,0.0,8,0.4421,0.0,34.6
Shelly-Ann FRASER-PRYCE,JAM,women_200m,2022,21.81,21.79,0.02,7,0.3633,-0.02,34.6
Jenna PRANDINI,USA,women_200m,2021,21.89,21.89,0.0,6,0.2964,0.0,29.6
Jenna PRANDINI,USA,women_200m,2022,22.01,21.89,0.12,12,0.2668,-0.12,29.6
Jenna PRANDINI,USA,women_200m,2023,22.34,21.89,0.45,3,0.2113,-0.45,29.6
Julien ALFRED,LCA,women_200m,2022,22.46,21.91,0.55,5,0.312,0.0,21.8
