athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Elaine THOMPSON-HERAH,JAM,women_100m,2021,10.54,10.54,0.0,15,0.1736,0.0,29.9
Elaine THOMPSON-HERAH,JAM,women_100m,2022,10.79,10.54,0.25,17,0.172,-0.25,29.9
Elaine THOMPSON-HERAH,JAM,women_100m,2023,11.24,10.54,0.7,1,0.0,-0.7,29.9
Shelly-Ann FRASER-PRYCE,JAM,women_100m,2021,10.6,10.6,0.0,13,0.0979,0.0,34.7
Shelly-Ann FRASER-PRYCE,JAM,women_100m,2022,10.62,10.6,0.02,11,0.0977,-0.02,34.7
Shericka JACKSON,JAM,women_100m,2021,10.76,10.71,0.05,11,0.2063,0.0,27.9
Shericka JACKSON,JAM,women_100m,2022,10.71,10.71,0.0,18,0.1789,0.05,27.9
Shericka JACKSON,JAM,women_100m,2023,10.78,10.71,0.07,5,0.1141,-0.07,27.9
Sha'Carri RICHARDSON,USA,women_100m,2021,10.72,10.72,0.0,7,0.2733,0.0,22.2
Sha'Carri RICHARDSON,USA,women_100m,2022,10.85,10.72,0.13,9,0.1967,-0.13,22.2
Sha'Carri RICHARDSON,USA,women_100m,2023,10.76,10.72,0.04,2,0.099,-0.04,22.2
Marie-Josée TA LOU,CIV,women_100m,2021,10.78,10.72,0.06,12,0.2015,0.0,33.7
Marie-Josée TA LOU,CIV,women_100m,2022,10.72,10.72,0.0,14,0.1037,0.06,33.7
Marie-Josée TA LOU,CIV,women_100m,2023,10.75,10.72,0.03,8,0.1122,-0.03,33.7
Julien ALFRED,LCA,women_100m,2022,10.81,10.81,0.0,13,0.1378,0.0,21.1
Julien ALFRED,LCA,women_100m,2023,10.83,10.81,0.02,5,0.1343,-0.02,21.1
Aleia HOBBS,USA,women_100m,2021,10.91,10.81,0.1,6,0.0956,0.0,26.4
Aleia HOBBS,USA,women_100m,2022,10.81,10.81,0.0,16,0.1267,0.1,26.4
Aleia HOBBS,USA,women_100m,2023,10.86,10.81,0.05,7,0.065,-0.05,26.4
Melissa JEFFERSON,USA,women_100m,2021,11.22,10.82,0.4,9,0.0902,0.0,21.3
Melissa JEFFERSON,USA,women_100m,2022,10.82,10.82,0.0,15,0.1494,0.4,21.3
