Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Mark ENGLISH,18 MAR 1993,1:43.85,IRL,Wanda Diamond League,16 MAY 2026,2026,1.,dl_meeting
Kethobogile HAINGURA,14 DEC 1998,1:43.89,BOT,Wanda Diamond League,16 MAY 2026,2026,2.,dl_meeting
Brandon MILLER,30 JAN 2002,1:44.00,USA,Wanda Diamond League,16 MAY 2026,2026,3.,dl_meeting
Luke BOYES,05 NOV 2003,1:44.16,AUS,Wanda Diamond League,16 MAY 2026,2026,4.,dl_meeting
Yanis MEZIANE,26 JAN 2002,1:44.17,FRA,Wanda Diamond League,16 MAY 2026,2026,5.,dl_meeting
Ben PATTISON,15 DEC 2001,1:44.19,GBR,Wanda Diamond League,16 MAY 2026,2026,6.,dl_meeting
Adrián BEN,04 AUG 1998,1:44.45,ESP,Wanda Diamond League,16 MAY 2026,2026,7.,dl_meeting
Wyclife KINYAMAL,02 JUL 1997,1:44.61,KEN,Wanda Diamond League,16 MAY 2026,2026,8.,dl_meeting
Marino BLOUDEK,18 JUL 1999,1:45.02,CRO,Wanda Diamond League,16 MAY 2026,2026,9.,dl_meeting
Patryk SIERADZKI,06 OCT 1998,DNF,POL,Wanda Diamond League,16 MAY 2026,2026,,dl_meeting
Max BURGIN,20 MAY 2002,1:42.98,GBR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,1.,dl_meeting
Emmanuel WANYONYI,01 AUG 2004,1:43.56,KEN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,2.,dl_meeting
Slimane MOULA,25 FEB 1999,1:43.73,ALG,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,3.,dl_meeting
Gabriel TUAL,09 APR 1998,1:44.03,FRA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,4.,dl_meeting
Donavan BRAZIER,15 APR 1997,1:44.03,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,5.,dl_meeting
Eliott CRESTAN,22 FEB 1999,1:44.08,BEL,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,6.,dl_meeting
Kethobogile HAINGURA,14 DEC 1998,1:44.21,BOT,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,7.,dl_meeting
Yanis MEZIANE,26 JAN 2002,1:44.38,FRA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,8.,dl_meeting
