Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,3:56.68,,Genzebe DIBABA,08 FEB 1991,ETH,1,,"Stadion Śląski, Chorzów (POL)",08 JUN 2018,1232.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14259874,toplist
2.0,3:57.34,,Shelby HOULIHAN,08 FEB 1993,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1227.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14368938,toplist
3.0,3:57.41,,Sifan HASSAN,01 JAN 1993,NED,,,"Olympic Stadium, London (GBR)",22 JUL 2018,1226.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14489606,toplist
4.0,3:57.64,,Gudaf TSEGAY,23 JAN 1997,ETH,1,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1225.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14595214,toplist
5.0,3:58.18,,Laura MUIR,09 MAY 1993,GBR,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1220.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14422111,toplist
6.0,3:58.88,,Hellen OBIRI,13 DEC 1989,KEN,,,"Olympic Stadium, London (GBR)",22 JUL 2018,1215.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14424921,toplist
7.0,3:59.15,,Rababe ARAFI,12 JAN 1991,MAR,5,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1212.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14290578,toplist
8.0,3:59.37,,Jenny SIMPSON,23 AUG 1986,USA,3,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1211.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14305392,toplist
9.0,3:59.92,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1206.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14330057,toplist
10.0,4:00.60,,Winny CHEBET,20 DEC 1990,KEN,5,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1201.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14288808,toplist
11.0,4:00.86,,Linden HALL,20 JUN 1991,AUS,6,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1199.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14272002,toplist
12.0,4:00.99,,Nelly JEPKOSGEI,14 JUL 1991,BRN,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1198.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14373314,toplist
13.0,4:01.41,,Habitam ALEMU,09 JUL 1997,ETH,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1194.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14730994,toplist
14.0,4:01.75,,Besu SADO,12 JAN 1996,ETH,4,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1191.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14654401,toplist
15.0,4:01.76,,Laura WEIGHTMAN,01 JUL 1991,GBR,7,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1191.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14276688,toplist
16.0,4:01.78,,Alemaz SAMUEL,05 JUL 1999,ETH,5,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1191.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14716074,toplist
17.0,4:01.98,,Eilish MCCOLGAN,25 NOV 1990,GBR,8,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1190.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14275729,toplist
18.0,4:02.06,,Sofia ENNAOUI,30 AUG 1995,POL,3,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1189.0,women_1500m,2018,https://worldathletics.org/athletes/athlete=14436869,toplist
