Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
1,3:27.62,,Josh KERR,08 OCT 1997,GBR,,,"Olympic Stadium, London (GBR)",18 JUL 2026,1279,men_1500m,2026
2,3:28.00,,Cameron MYERS,09 JUN 2006,AUS,1,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1273,men_1500m,2026
3,3:29.36,,Yared NUGUSE,01 JUN 1999,USA,,,"Olympic Stadium, London (GBR)",18 JUL 2026,1254,men_1500m,2026
4,3:29.80,,Azeddine HABZ,19 JUL 1993,FRA,2,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1248,men_1500m,2026
5,3:29.95,,Jake WIGHTMAN,11 JUL 1994,GBR,3,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1245,men_1500m,2026
6,3:30.09,,Robert FARKEN,20 SEP 1997,GER,,,"Olympic Stadium, London (GBR)",18 JUL 2026,1243,men_1500m,2026
7,3:30.17,,Anass ESSAYI,18 MAY 2001,MAR,4,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1242,men_1500m,2026
8,3:30.28,,Reynold CHERUIYOT,30 JUL 2004,KEN,5,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1241,men_1500m,2026
9,3:30.31,,Anas LAGTIY CHAOUDAR,17 JAN 2004,FRA,6,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1240,men_1500m,2026
10,3:30.43,,Isaac NADER,17 AUG 1999,POR,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1239,men_1500m,2026
11,3:30.67,,Timothy CHERUIYOT,20 NOV 1995,KEN,3,,"Olympiastadion, Stockholm (SWE)",07 JUN 2026,1235,men_1500m,2026
12,3:30.80,,Cole HOCKER,06 JUN 2001,USA,f3,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 FEB 2026,1289,men_1500m,2026
13,3:30.90,,Vincent CIATTEI,21 JAN 1995,USA,4,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1232,men_1500m,2026
14,3:31.09,,Phanuel Kipkosgei KOECH,01 DEC 2006,KEN,1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1229,men_1500m,2026
15,3:31.10,,Danson KIPLANGAT,23 AUG 2006,KEN,2,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1229,men_1500m,2026
16,3:31.36,,Paul ANSELMINI,02 AUG 2003,FRA,7,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1225,men_1500m,2026
17,3:31.46,,Titouan LE GRIX,16 JUN 2002,FRA,8,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1224,men_1500m,2026
18,3:31.47,,José Carlos PINTO,03 MAY 1997,POR,3,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1224,men_1500m,2026
19,3:31.53,,Tshepo TSHITE,15 JAN 1997,RSA,5,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1223,men_1500m,2026
20,3:31.61,,Anis CHOTT,05 OCT 2004,ALG,5,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1222,men_1500m,2026
21,3:31.65,,Andrew COSCORAN,18 JUN 1996,IRL,6,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1221,men_1500m,2026
22,3:31.69,,Simeon BIRNBAUM,23 JUN 2005,USA,1f1,,"Hayward Field, Eugene, OR (USA)",18 APR 2026,1221,men_1500m,2026
23,3:31.74,,Narve Gilje NORDÅS,30 SEP 1998,NOR,5,,"Olympiastadion, Stockholm (SWE)",07 JUN 2026,1220,men_1500m,2026
24,3:31.76,,Hobbs KESSLER,15 MAR 2003,USA,6,,"Olympiastadion, Stockholm (SWE)",07 JUN 2026,1220,men_1500m,2026
25,3:31.81,,Flavien SZOT,06 SEP 2001,FRA,9,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1219,men_1500m,2026
25,3:31.81,,Jake HEYWARD,26 APR 1999,GBR,,,"Olympic Stadium, London (GBR)",18 JUL 2026,1219,men_1500m,2026
27,3:31.82,,Mohamed ATTAOUI,26 SEP 2001,ESP,1,,"Paavo Nurmen Stadion, Turku (FIN)",03 JUN 2026,1219,men_1500m,2026
28,3:31.87,,Pietro ARESE,08 OCT 1999,ITA,6,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1218,men_1500m,2026
29,3:32.08,,Romain MORNET,08 NOV 1997,FRA,3,,"Stade Raymond Petit, Tomblaine (FRA)",03 JUL 2026,1215,men_1500m,2026
30,3:32.11,,Fouad MESSAOUDI,07 JAN 2001,MAR,8,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1215,men_1500m,2026
31,3:32.33,,Jude THOMAS,17 MAR 2002,AUS,5,,"Stade Raymond Petit, Tomblaine (FRA)",03 JUL 2026,1212,men_1500m,2026
32,3:32.38,,Ruben VERHEYDEN,22 DEC 2000,BEL,11,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1211,men_1500m,2026
33,3:32.45,,Stefan NILLESSEN,02 JAN 2003,NED,12,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1210,men_1500m,2026
34,3:32.46,,Nathan GREEN,10 APR 2003,USA,1,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1210,men_1500m,2026
35,3:32.52,,Joe WASKOM,12 APR 2001,USA,7,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1209,men_1500m,2026
36,3:32.54,,Ethan STRAND,19 OCT 2002,USA,f1,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1209,men_1500m,2026
37,3:32.60,,Brian KOMEN,10 AUG 1998,KEN,3f1,,"Nyayo National Stadium, Nairobi (KEN)",20 JUN 2026,1208,men_1500m,2026
38,3:32.66,,Oliver HOARE,29 JAN 1997,AUS,2,,"Olympic Park, Sydney (AUS)",10 APR 2026,1207,men_1500m,2026
38,3:32.66,,Adrián BEN,04 AUG 1998,ESP,7,,"Stade Raymond Petit, Tomblaine (FRA)",03 JUL 2026,1207,men_1500m,2026
40,3:32.68,,Samuel CHAPPLE,23 NOV 1998,NED,2,,"Arena Toruń, Toruń (POL) (i)",22 FEB 2026,1261,men_1500m,2026
41,3:32.69,,Marco LANGON,31 AUG 2004,USA,8,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1207,men_1500m,2026
42,3:32.71,,Muhdin WERKU,20 MAR 2007,ETH,3,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1206,men_1500m,2026
43,3:32.76,,Samuel PRAKEL,29 OCT 1994,USA,3,,"Paavo Nurmen Stadion, Turku (FIN)",03 JUN 2026,1206,men_1500m,2026
44,3:32.92,,Arlo LUDEWICK,06 MAY 2000,GBR,,,"Olympic Stadium, London (GBR)",18 JUL 2026,1204,men_1500m,2026
45,3:32.94,,Thomas KEEN,16 JUN 2001,GBR,,,"Olympic Stadium, London (GBR)",18 JUL 2026,1203,men_1500m,2026
46,3:33.04,,Federico RIVA,09 NOV 2000,ITA,2f1,,"Arena Stade Couvert, Liévin (FRA) (i)",19 FEB 2026,1256,men_1500m,2026
47,3:33.07,,Tim VERBAANDERT,17 JUL 2000,NED,6,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1201,men_1500m,2026
48,3:33.15,,Festus LAGAT,10 OCT 1996,KEN,10,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1200,men_1500m,2026
49,3:33.17,,Trent MCFARLAND,01 JUN 2005,USA,1f6,,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",17 APR 2026,1200,men_1500m,2026
49,3:33.17,,Brian MASAI,02 MAR 1999,KEN,2f1,,"John McDonnell Field, Fayetteville, AR (USA)",08 MAY 2026,1200,men_1500m,2026
49,3:33.17,,Gary MARTIN,23 DEC 2003,USA,f1,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1200,men_1500m,2026
52,3:33.25,,Sam RUTHE,12 APR 2009,NZL,f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 JAN 2026,1253,men_1500m,2026
