Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,10.85,1.5,Marie-Josée TA LOU,18 NOV 1988,CIV,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1233.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14415994,toplist
1.0,10.85,0.0,Dina ASHER-SMITH,04 DEC 1995,GBR,1,,"Olympiastadion, Berlin (GER)",07 AUG 2018,1233.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14378282,toplist
3.0,10.9,1.5,Blessing OKAGBARE,09 OCT 1988,NGR,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1222.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14292330,toplist
3.0,10.9,1.9,Aleia HOBBS,24 FEB 1996,USA,1qf3,,"Tampa, FL (USA)",25 MAY 2018,1222.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14430847,toplist
3.0,10.9,1.9,Murielle AHOURÉ,23 AUG 1987,CIV,2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1222.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14304569,toplist
6.0,10.93,1.5,Elaine THOMPSON,28 JUN 1992,JAM,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1215.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14285956,toplist
7.0,10.95,1.1,Mujinga KAMBUNDJI,17 JUN 1992,SUI,1,,Zofingen (SUI),13 JUL 2018,1211.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14300897,toplist
8.0,10.96,0.6,Ashley HENDERSON,04 DEC 1995,USA,2,,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2018,1209.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14436992,toplist
8.0,10.96,0.9,Jenna PRANDINI,20 NOV 1992,USA,1,,Toronto (CAN),11 AUG 2018,1209.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14329068,toplist
10.0,10.98,1.5,Carina HORN,09 MAR 1989,RSA,5,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1204.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14361361,toplist
10.0,10.98,1.5,Shania COLLINS,14 NOV 1996,USA,1sf1,,"Eugene, OR (USA)",07 JUN 2018,1204.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14477995,toplist
10.0,10.98,0.1,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,,"Olympic Stadium, London (GBR)",21 JUL 2018,1204.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14285680,toplist
10.0,10.98,0.0,Gina LÜCKENKEMPER,21 NOV 1996,GER,2,,"Olympiastadion, Berlin (GER)",07 AUG 2018,1204.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14450088,toplist
14.0,10.99,1.7,Twanisha TERRY,24 JAN 1999,USA,1f2,,"Torrance, CA (USA)",21 APR 2018,1202.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14553598,toplist
14.0,10.99,1.8,Dezerea BRYANT,27 APR 1993,USA,1h2,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2018,1202.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14375109,toplist
14.0,10.99,1.2,Yongli WEI,11 OCT 1991,CHN,1h1,,La Chaux-de-Fonds (SUI),01 JUL 2018,1202.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14423021,toplist
14.0,10.99,0.0,Dafne SCHIPPERS,15 JUN 1992,NED,3,,"Olympiastadion, Berlin (GER)",07 AUG 2018,1202.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14291986,toplist
18.0,11.01,-1.5,Ángela Gabriela TENORIO,27 JAN 1996,ECU,1h1,,Cochabamba (BOL),06 JUN 2018,1207.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14496119,toplist
18.0,11.01,1.5,Carolle ZAHI,12 JUN 1994,FRA,1,,Albi (FRA),07 JUL 2018,1198.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14477479,toplist
20.0,11.02,1.5,Tamara CLARK,09 JAN 1999,USA,3,,"Knoxville, TN (USA)",12 MAY 2018,1195.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14596381,toplist
20.0,11.02,0.9,English GARDNER,22 APR 1992,USA,1,,Rovereto (ITA),23 AUG 2018,1195.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14310719,toplist
22.0,11.03,1.9,Tori BOWIE,27 AUG 1990,USA,5,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1193.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14360382,toplist
22.0,11.03,0.3,Vitoria Cristina ROSA,12 JAN 1996,BRA,1,,Guadalajara (ESP),06 JUL 2018,1193.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14481687,toplist
24.0,11.04,1.5,Natalliah WHYTE,09 AUG 1997,JAM,4,,"Knoxville, TN (USA)",12 MAY 2018,1191.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14413448,toplist
24.0,11.04,1.1,Jada BAYLARK,17 OCT 1997,USA,1qf2,,"Sacramento, CA (USA)",25 MAY 2018,1191.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14596937,toplist
24.0,11.04,0.7,Krystsina TSIMANOUSKAYA,19 NOV 1996,BLR,1,,Minsk (BLR),11 JUL 2018,1191.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14571586,toplist
27.0,11.05,0.4,Mikiah BRISCO,14 JUL 1996,USA,1qf2,,"Tampa, FL (USA)",25 MAY 2018,1189.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14465133,toplist
28.0,11.06,1.6,Michelle-Lee AHYE,10 APR 1992,TTO,3,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1187.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14302966,toplist
28.0,11.06,1.5,Orlann OMBISSA-DZANGUE,26 MAY 1991,FRA,2,,Albi (FRA),07 JUL 2018,1187.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14273372,toplist
30.0,11.07,1.6,Semoy HACKETT,27 NOV 1988,TTO,1f1,,"Montverde, FL (USA)",09 JUN 2018,1185.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14303004,toplist
30.0,11.07,0.1,Jonielle SMITH,30 JAN 1996,JAM,3,,"Olympic Stadium, London (GBR)",21 JUL 2018,1185.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14413641,toplist
32.0,11.08,1.5,Arianna WASHINGTON,04 SEP 1996,USA,2sf1,,"Eugene, OR (USA)",07 JUN 2018,1182.0,women_100m,2018,https://worldathletics.org/athletes/athlete=14468500,toplist
