Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
1,21.51,+0.9,Julien ALFRED,10 JUN 2001,LCA,1,,"Stade Louis II, Monaco (MON)",10 JUL 2026,1290,women_200m,2026
2,21.68,-0.4,Adaejah HODGE,21 MAR 2006,IVB,1f1,,"Hayward Field, Eugene, OR (USA)",13 JUN 2026,1274,women_200m,2026
3,21.69,+1.0,Melissa JEFFERSON-WOODEN,21 FEB 2001,USA,1,,"Icahn Stadium, New York, NY (USA)",26 JUL 2026,1271,women_200m,2026
4,21.70,+0.7,Gabrielle THOMAS,07 DEC 1996,USA,1,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1269,women_200m,2026
5,21.87,+0.2,Shericka JACKSON,16 JUL 1994,JAM,1,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1251,women_200m,2026
6,21.92,0.0,Kayla WHITE,14 SEP 1996,USA,2,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1246,women_200m,2026
7,21.93,+1.7,Cambrea STURGIS,27 MAR 1999,USA,2,,"Nyayo National Stadium, Nairobi (KEN)",24 APR 2026,1245,women_200m,2026
8,22.04,+0.2,Shaunae MILLER-UIBO,15 APR 1994,BAH,2,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1233,women_200m,2026
9,22.07,+1.1,JaMeesia FORD,26 JAN 2005,USA,1f1,,"Hutsell-Rosen Track, Auburn, AL (USA)",25 APR 2026,1230,women_200m,2026
10,22.11,+1.9,Shanoya Mikalia DOUGLAS,11 SEP 2007,JAM,1,,"Kirani James Athletic Stadium, St. George's (GRN)",06 APR 2026,1226,women_200m,2026
11,22.12,-0.4,Shawnti JACKSON,02 MAY 2005,USA,2f1,,"Hayward Field, Eugene, OR (USA)",13 JUN 2026,1227,women_200m,2026
12,22.13,+1.3,Camryn DICKSON,19 JUN 2004,USA,1h3,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1224,women_200m,2026
13,22.15,+0.7,Favour OFILI,31 DEC 2002,NGR,3,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1222,women_200m,2026
14,22.19,+1.5,Tiriah KELLEY,16 JUN 2004,USA,1f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",16 MAY 2026,1218,women_200m,2026
15,22.21,0.0,Anavia BATTLE,28 MAR 1999,USA,3,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1216,women_200m,2026
16,22.22,+1.7,Gabrielle MATTHEWS,14 OCT 2002,JAM,2sf3,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1215,women_200m,2026
17,22.28,+1.7,Dajaz DEFRAND,16 OCT 2003,USA,1h1,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1208,women_200m,2026
17,22.28,+0.1,Dina ASHER-SMITH,04 DEC 1995,GBR,4,,"Olympic Stadium, London (GBR)",18 JUL 2026,1208,women_200m,2026
19,22.29,+1.0,Alana REID,20 JAN 2005,JAM,1,,"National Stadium, Kingston (JAM)",21 JUN 2026,1207,women_200m,2026
20,22.30,+0.1,Amy HUNT,15 MAY 2002,GBR,5,,"Olympic Stadium, London (GBR)",18 JUL 2026,1206,women_200m,2026
21,22.31,-0.4,Yahnari LYONS,28 APR 2004,USA,5f1,,"Hayward Field, Eugene, OR (USA)",13 JUN 2026,1207,women_200m,2026
21,22.31,+1.5,Shaniqua BASCOMBE,08 NOV 2003,TTO,1sf3,,"Scotstoun Stadium, Glasgow (GBR)",30 JUL 2026,1205,women_200m,2026
23,22.36,-0.1,Jenna PRANDINI,20 NOV 1992,USA,1f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",02 MAY 2026,1200,women_200m,2026
23,22.36,+0.2,Kaila JACKSON,30 JUN 2004,USA,2h2,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1200,women_200m,2026
25,22.37,-0.2,Mia MAXWELL,21 SEP 2007,USA,1,,"Hayward Field, Eugene, OR (USA)",08 AUG 2026,1200,women_200m,2026
26,22.38,+0.2,Sha'Carri RICHARDSON,25 MAR 2000,USA,4,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1198,women_200m,2026
26,22.38,+2.0,Jasmine MONTGOMERY,2002,USA,2h2,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1198,women_200m,2026
26,22.38,+2.0,Audrey LEDUC,09 MAR 1999,CAN,1,,"Terry Fox AF, Ottawa (CAN)",21 JUN 2026,1198,women_200m,2026
29,22.42,-2.0,Mckenzie LONG,11 JUL 2000,USA,1f1,,"Percy Beard Track, Gainesville, FL (USA)",17 APR 2026,1206,women_200m,2026
29,22.42,+1.5,Rosemary CHUKWUMA,05 DEC 2001,NGR,1f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",25 APR 2026,1194,women_200m,2026
31,22.43,-0.9,Success EDUAN,27 SEP 2004,GBR,1f1,,"Alexander Stadium, Birmingham (GBR)",21 JUN 2026,1198,women_200m,2026
32,22.44,-2.0,Mariah MAXWELL,21 SEP 2007,USA,2f1,,"Percy Beard Track, Gainesville, FL (USA)",17 APR 2026,1204,women_200m,2026
32,22.44,+1.7,Christine MALLARD,12 MAY 2004,USA,2h1,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1192,women_200m,2026
32,22.44,+1.0,Lavanya WILLIAMS,08 DEC 2005,JAM,2,,"National Stadium, Kingston (JAM)",21 JUN 2026,1192,women_200m,2026
35,22.45,+1.0,Ashanti MOORE,07 NOV 2000,JAM,3,,"National Stadium, Kingston (JAM)",21 JUN 2026,1191,women_200m,2026
36,22.49,-0.4,Alexis BROWN,16 JUL 2004,USA,7f1,,"Hayward Field, Eugene, OR (USA)",13 JUN 2026,1189,women_200m,2026
37,22.50,,India MAYBERRY,2005,USA,1f2,,"Sports Performance Center, Lubbock, TX (USA) (i)",28 FEB 2026,1226,women_200m,2026
37,22.50,+0.9,Fabienne HOENKE,20 JAN 2004,SUI,7,,"Stade Louis II, Monaco (MON)",10 JUL 2026,1186,women_200m,2026
39,22.53,+0.1,Kelly UFODIAMA,09 JUN 2006,NGR,1f1,,"Percy Beard Track, Gainesville, FL (USA)",04 APR 2026,1182,women_200m,2026
40,22.55,+1.8,Sydney SUTTON,11 NOV 2006,USA,1f1,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",01 MAY 2026,1180,women_200m,2026
40,22.55,+1.4,RaNayla MOTEN,,USA,1h5,,"New Mexico JC, Hobbs, NM (USA)",15 MAY 2026,1180,women_200m,2026
40,22.55,+0.2,Kya EPPS,,USA,3h2,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1180,women_200m,2026
40,22.55,0.0,Sada WILLIAMS,01 DEC 1997,BAR,4,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1180,women_200m,2026
40,22.55,+1.6,Henriette JÆGER,30 JUN 2003,NOR,1,,"Trondheim Stadion, Trondheim (NOR)",25 JUL 2026,1180,women_200m,2026
45,22.56,+1.5,Ella ONOJUVWEVWO,25 MAR 2005,NGR,2f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",25 APR 2026,1179,women_200m,2026
46,22.57,-0.5,Jassani CARTER,04 NOV 2003,USA,2pr5,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",28 MAY 2026,1181,women_200m,2026
46,22.57,+1.3,Anya JACKSON,,USA,2h3,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1178,women_200m,2026
46,22.57,+1.9,Kristal AMA-AWUAH,07 AUG 1999,GBR,1f1,,"London Marathon Community Track, London (GBR)",12 JUL 2026,1178,women_200m,2026
