Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
1,14:18.41,,Likina AMEBAW,30 NOV 1997,ETH,1,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1245,women_5000m,2026
2,14:18.54,,Aleshign BAWEKE,23 JAN 2006,ETH,2,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1245,women_5000m,2026
3,14:18.94,,Freweyni HAILU,12 FEB 2001,ETH,3,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1244,women_5000m,2026
4,14:22.37,,Senayet GETACHEW,01 OCT 2005,ETH,4,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1237,women_5000m,2026
5,14:22.51,,Medina EISA,2002,ETH,5,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1237,women_5000m,2026
6,14:22.56,,Hirut MESHESHA,20 JAN 2001,ETH,6,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1237,women_5000m,2026
7,14:23.44,,Fantaye BELAYNEH,11 SEP 2000,ETH,7,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1235,women_5000m,2026
8,14:24.14,,Faith KIPYEGON,10 JAN 1994,KEN,1,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1234,women_5000m,2026
9,14:26.41,,Asayech AYICHEW,03 APR 2005,ETH,5,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1229,women_5000m,2026
10,14:29.97,,Mizan ALEM,22 JAN 2002,ETH,6,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1222,women_5000m,2026
11,14:30.06,,Winfred YAVI,31 DEC 1999,BRN,8,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1222,women_5000m,2026
12,14:32.84,,Marta ALEMAYO,08 APR 2008,ETH,7,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1216,women_5000m,2026
13,14:33.56,,Maureen KOSTER,03 JUL 1992,NED,9,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1215,women_5000m,2026
14,14:34.01,,Margaret AKIDOR,26 JUN 2002,KEN,10,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1214,women_5000m,2026
15,14:35.96,,Hawi ABERA,17 DEC 2006,ETH,8,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1210,women_5000m,2026
