Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,19.65,0.9,Noah LYLES,18 JUL 1997,USA,1,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1276.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14536762,toplist
2.0,19.69,-0.5,Clarence MUNYAI,20 FEB 1998,RSA,1sf1,,Pretoria (RSA),16 MAR 2018,1272.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14630862,toplist
3.0,19.75,0.3,Steven GARDINER,12 SEP 1995,BAH,1f1,,"Coral Gables, FL (USA)",07 APR 2018,1260.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14578505,toplist
4.0,19.76,0.7,Ramil GULIYEV,29 MAY 1990,TUR,1,,"Olympiastadion, Berlin (GER)",09 AUG 2018,1258.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14178065,toplist
5.0,19.81,0.1,Akeem BLOOMFIELD,10 NOV 1997,JAM,1,,"Olympic Stadium, London (GBR)",22 JUL 2018,1250.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14629292,toplist
6.0,19.84,-0.6,Michael NORMAN,03 DEC 1997,USA,1,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1248.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14588244,toplist
7.0,19.9,0.9,Alonso EDWARD,08 DEC 1989,PAN,1f1,,Luzern (SUI),09 JUL 2018,1236.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14216095,toplist
8.0,19.93,-0.5,Alex QUIÑÓNEZ,11 AUG 1989,ECU,1,,Cochabamba (BOL),07 JUN 2018,1234.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14368885,toplist
8.0,19.93,1.5,Isiah YOUNG,05 JAN 1990,USA,1f1,,"Montverde, FL (USA)",09 JUN 2018,1231.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14360879,toplist
10.0,19.96,0.9,Isaac MAKWALA,24 SEP 1985,BOT,1,,"Yanmar Stadium Nagai, Osaka (JPN)",20 MAY 2018,1226.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14176330,toplist
11.0,19.97,0.4,Kyle GREAUX,26 APR 1988,TTO,2sf2,,Barranquilla (COL),31 JUL 2018,1225.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14526883,toplist
12.0,19.98,1.0,Aaron BROWN,27 MAY 1992,CAN,2,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1223.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14366482,toplist
13.0,19.99,1.3,Jereem RICHARDS,13 JAN 1994,TTO,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1222.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14434521,toplist
13.0,19.99,-0.6,Rai BENJAMIN,27 JUL 1997,USA,2,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1225.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14574865,toplist
15.0,20.0,1.9,Ncincilili TITI,15 DEC 1993,RSA,1f1,,"Columbia, SC (USA)",21 APR 2018,1220.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14417761,toplist
15.0,20.0,0.3,Bernardo BALOYES,06 JAN 1994,COL,1sf1,,Barranquilla (COL),31 JUL 2018,1220.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14433876,toplist
17.0,20.01,1.9,Luxolo ADAMS,01 AUG 1996,RSA,1,,Paarl (RSA),22 MAR 2018,1218.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14696930,toplist
18.0,20.02,,Elijah HALL-THOMPSON,22 AUG 1994,USA,1f2,,"College Station, TX (USA) (i)",10 MAR 2018,1287.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14432013,toplist
19.0,20.04,0.8,Bruno HORTELANO,18 SEP 1991,ESP,1sf2,,Getafe (ESP),22 JUL 2018,1214.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14362106,toplist
19.0,20.04,0.7,Nethaneel MITCHELL-BLAKE,02 APR 1994,GBR,2,,"Olympiastadion, Berlin (GER)",09 AUG 2018,1214.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14413552,toplist
19.0,20.04,0.7,Alex WILSON,19 SEP 1990,SUI,3,,"Olympiastadion, Berlin (GER)",09 AUG 2018,1214.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14329085,toplist
22.0,20.07,1.9,Anaso JOBODWANA,30 JUL 1992,RSA,2,,Paarl (RSA),22 MAR 2018,1209.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14383348,toplist
23.0,20.1,0.7,Adam GEMILI,06 OCT 1993,GBR,5,,"Olympiastadion, Berlin (GER)",09 AUG 2018,1204.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14427998,toplist
24.0,20.13,1.3,Divine ODUDURU,07 OCT 1996,NGR,1,,"Waco, TX (USA)",13 MAY 2018,1200.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14579422,toplist
24.0,20.13,1.5,Ameer WEBB,19 MAR 1991,USA,1sf1,,"Drake Stadium, Des Moines, IA (USA)",24 JUN 2018,1200.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14373694,toplist
24.0,20.13,0.7,Eseosa Fostine DESALU,19 FEB 1994,ITA,6,,"Olympiastadion, Berlin (GER)",09 AUG 2018,1200.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14403082,toplist
27.0,20.15,0.8,Kendal WILLIAMS,23 SEP 1995,USA,1,,"Knoxville, TN (USA)",13 MAY 2018,1196.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14465376,toplist
28.0,20.16,0.9,Zhenye XIE,17 AUG 1993,CHN,2,,"Yanmar Stadium Nagai, Osaka (JPN)",20 MAY 2018,1195.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14376449,toplist
29.0,20.18,0.9,Sydney SIAME,07 OCT 1997,ZAM,1f1,,Cork (IRL),16 JUL 2018,1192.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14656979,toplist
30.0,20.19,-0.9,Christophe LEMAITRE,11 JUN 1990,FRA,4,,"Mestský Stadion, Ostrava (CZE)",13 JUN 2018,1195.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14186000,toplist
30.0,20.19,0.3,Rasheed DWYER,29 JAN 1989,JAM,2sf1,,Barranquilla (COL),31 JUL 2018,1190.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14201966,toplist
32.0,20.21,-0.5,Vitor Hugo DOS SANTOS,01 FEB 1996,BRA,2,,Cochabamba (BOL),07 JUN 2018,1190.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14481678,toplist
32.0,20.21,0.2,Jahnoy THOMPSON,16 FEB 1996,JAM,1,,Kingston (JAM),24 JUN 2018,1187.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14639025,toplist
34.0,20.22,1.2,John LUNDY,15 MAR 1992,USA,1,,"Winter Park, FL (USA)",19 AUG 2018,1186.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14571370,toplist
35.0,20.23,-1.6,Zharnel HUGHES,13 JUL 1995,GBR,1f2,,Brisbane (AUS),28 MAR 2018,1193.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14414524,toplist
35.0,20.23,1.6,Derick SILVA,23 APR 1998,BRA,1f1,,"Auburn, AL (USA)",21 APR 2018,1184.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14621683,toplist
35.0,20.23,1.0,Mustaqeem WILLIAMS,24 AUG 1995,USA,1sf2,,"Eugene, OR (USA)",06 JUN 2018,1184.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14491490,toplist
35.0,20.23,0.7,Aldemir GOMES JÚNIOR,08 JUN 1992,BRA,1h2,,Cochabamba (BOL),07 JUN 2018,1184.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14429482,toplist
35.0,20.23,0.7,Yuki KOIKE,15 MAY 1995,JPN,1,,Jakarta (INA),29 AUG 2018,1184.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14547883,toplist
35.0,20.23,0.7,Chun-Han YANG,01 JAN 1997,TPE,2,,Jakarta (INA),29 AUG 2018,1184.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14547735,toplist
41.0,20.24,1.6,Ján VOLKO,02 NOV 1996,SVK,1,,Trnava (SVK),08 JUL 2018,1182.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14511687,toplist
42.0,20.25,1.5,Jaylen BACON,05 AUG 1996,USA,1,,"San Marcos, TX (USA)",13 MAY 2018,1181.0,men_200m,2018,https://worldathletics.org/athletes/athlete=14531147,toplist
