Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Emma ZAPLETALOVÁ,24 MAR 2000,52.82,SVK,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,1.,dl_meeting
Anna COCKRELL,28 AUG 1997,53.18,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,2.,dl_meeting
Rushell CLAYTON,18 OCT 1992,53.75,JAM,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,3.,dl_meeting
Gianna WOODRUFF,18 NOV 1993,54.08,PAN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,4.,dl_meeting
Amalie IUEL,17 APR 1994,54.35,NOR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,5.,dl_meeting
Savannah SUTHERLAND,07 AUG 2003,54.91,CAN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,6.,dl_meeting
Ayomide FOLORUNSO,17 OCT 1996,55.25,ITA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,7.,dl_meeting
Andrenette KNIGHT,19 NOV 1996,55.37,JAM,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,8.,dl_meeting
Emma ZAPLETALOVÁ,24 MAR 2000,52.58,SVK,Golden Gala Pietro Mennea,04 JUN 2026,2026,1.,dl_meeting
Anna COCKRELL,28 AUG 1997,52.77,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,2.,dl_meeting
Rushell CLAYTON,18 OCT 1992,53.14,JAM,Golden Gala Pietro Mennea,04 JUN 2026,2026,3.,dl_meeting
Dalilah MUHAMMAD,07 FEB 1990,53.39,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,4.,dl_meeting
Gianna WOODRUFF,18 NOV 1993,53.58,PAN,Golden Gala Pietro Mennea,04 JUN 2026,2026,5.,dl_meeting
Jasmine JONES,30 NOV 2001,53.92,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,6.,dl_meeting
Amalie IUEL,17 APR 1994,54.05,NOR,Golden Gala Pietro Mennea,04 JUN 2026,2026,7.,dl_meeting
Alice MURARO,14 AUG 2000,55.50,ITA,Golden Gala Pietro Mennea,04 JUN 2026,2026,8.,dl_meeting
Ayomide FOLORUNSO,17 OCT 1996,56.01,ITA,Golden Gala Pietro Mennea,04 JUN 2026,2026,9.,dl_meeting
Emma ZAPLETALOVÁ,24 MAR 2000,53.13,SVK,Oslo Bislett Games,10 JUN 2026,2026,1.,dl_meeting
Rushell CLAYTON,18 OCT 1992,53.50,JAM,Oslo Bislett Games,10 JUN 2026,2026,2.,dl_meeting
Jasmine JONES,30 NOV 2001,54.09,USA,Oslo Bislett Games,10 JUN 2026,2026,3.,dl_meeting
Gianna WOODRUFF,18 NOV 1993,54.68,PAN,Oslo Bislett Games,10 JUN 2026,2026,4.,dl_meeting
Amalie IUEL,17 APR 1994,54.79,NOR,Oslo Bislett Games,10 JUN 2026,2026,5.,dl_meeting
Fatoumata Binta DIALLO,06 APR 2000,55.13,POR,Oslo Bislett Games,10 JUN 2026,2026,6.,dl_meeting
Elisabeth SLETTUM,31 AUG 1986,56.86,NOR,Oslo Bislett Games,10 JUN 2026,2026,7.,dl_meeting
Andrea ROOTH,06 MAR 2002,57.41,NOR,Oslo Bislett Games,10 JUN 2026,2026,8.,dl_meeting
Emma ZAPLETALOVÁ,24 MAR 2000,52.30,SVK,Doha Meeting,19 JUN 2026,2026,1.,dl_meeting
Rushell CLAYTON,18 OCT 1992,53.05,JAM,Doha Meeting,19 JUN 2026,2026,2.,dl_meeting
Kemi ADEKOYA,16 JAN 1993,53.67,BRN,Doha Meeting,19 JUN 2026,2026,3.,dl_meeting
Gianna WOODRUFF,18 NOV 1993,53.88,PAN,Doha Meeting,19 JUN 2026,2026,4.,dl_meeting
Amalie IUEL,17 APR 1994,54.09,NOR,Doha Meeting,19 JUN 2026,2026,5.,dl_meeting
Ashley MILLER,17 FEB 1998,54.33,ZIM,Doha Meeting,19 JUN 2026,2026,6.,dl_meeting
Ayomide FOLORUNSO,17 OCT 1996,54.85,ITA,Doha Meeting,19 JUN 2026,2026,7.,dl_meeting
Eileen DEMES,13 OCT 1997,54.91,GER,Doha Meeting,19 JUN 2026,2026,8.,dl_meeting
Emma ZAPLETALOVÁ,24 MAR 2000,52.41,SVK,Athletissima Lausanne,21 AUG 2026,2026,1.,dl_meeting
Anna COCKRELL,28 AUG 1997,53.15,USA,Athletissima Lausanne,21 AUG 2026,2026,2.,dl_meeting
Paulien COUCKUYT,19 MAY 1997,53.28,BEL,Athletissima Lausanne,21 AUG 2026,2026,3.,dl_meeting
Rushell CLAYTON,18 OCT 1992,53.65,JAM,Athletissima Lausanne,21 AUG 2026,2026,4.,dl_meeting
Gianna WOODRUFF,18 NOV 1993,54.40,PAN,Athletissima Lausanne,21 AUG 2026,2026,5.,dl_meeting
Jasmine JONES,30 NOV 2001,54.45,USA,Athletissima Lausanne,21 AUG 2026,2026,6.,dl_meeting
Fatoumata Binta DIALLO,06 APR 2000,54.68,POR,Athletissima Lausanne,21 AUG 2026,2026,7.,dl_meeting
Kemi ADEKOYA,16 JAN 1993,55.21,BRN,Athletissima Lausanne,21 AUG 2026,2026,8.,dl_meeting
Anna COCKRELL,28 AUG 1997,52.13,USA,Weltklasse Zürich,27 AUG 2026,2026,1.,dl_meeting
Dalilah MUHAMMAD,07 FEB 1990,53.16,USA,Weltklasse Zürich,27 AUG 2026,2026,2.,dl_meeting
Rushell CLAYTON,18 OCT 1992,53.17,JAM,Weltklasse Zürich,27 AUG 2026,2026,3.,dl_meeting
Fatoumata Binta DIALLO,06 APR 2000,53.30,POR,Weltklasse Zürich,27 AUG 2026,2026,4.,dl_meeting
Gianna WOODRUFF,18 NOV 1993,53.79,PAN,Weltklasse Zürich,27 AUG 2026,2026,5.,dl_meeting
Emma ZAPLETALOVÁ,24 MAR 2000,54.07,SVK,Weltklasse Zürich,27 AUG 2026,2026,6.,dl_meeting
Amalie IUEL,17 APR 1994,54.12,NOR,Weltklasse Zürich,27 AUG 2026,2026,7.,dl_meeting
Emily NEWNHAM,19 MAY 2004,54.81,GBR,Weltklasse Zürich,27 AUG 2026,2026,8.,dl_meeting
