Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Kenneth BEDNAREK,14 OCT 1998,19.69,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,1.,dl_meeting
Letsile TEBOGO,07 JUN 2003,19.96,BOT,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,2.,dl_meeting
Sinesipho DAMBILE,02 MAR 2002,20.03,RSA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,3.,dl_meeting
Cheickna TRAORE,21 OCT 2000,20.15,CIV,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,4.,dl_meeting
Andre DE GRASSE,10 NOV 1994,20.16,CAN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,5.,dl_meeting
Yassine HSSINE,31 JAN 2003,20.18,MAR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,6.,dl_meeting
Courtney LINDSEY,18 NOV 1998,20.21,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,7.,dl_meeting
Aaron BROWN,27 MAY 1992,20.30,CAN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,8.,dl_meeting
Bryan LEVELL,23 DEC 2003,20.44,JAM,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,9.,dl_meeting
Kenneth BEDNAREK,14 OCT 1998,19.87,USA,BAUHAUS-Galan,07 JUN 2026,2026,1.,dl_meeting
Sinesipho DAMBILE,02 MAR 2002,20.10,RSA,BAUHAUS-Galan,07 JUN 2026,2026,2.,dl_meeting
Courtney LINDSEY,18 NOV 1998,20.24,USA,BAUHAUS-Galan,07 JUN 2026,2026,3.,dl_meeting
Reynier MENA,21 NOV 1996,20.53,CUB,BAUHAUS-Galan,07 JUN 2026,2026,4.,dl_meeting
Mthi MTHIMKULU,30 APR 2003,20.78,RSA,BAUHAUS-Galan,07 JUN 2026,2026,5.,dl_meeting
Timothé MUMENTHALER,12 DEC 2002,DQ,SUI,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Letsile TEBOGO,07 JUN 2003,19.84,BOT,Oslo Bislett Games,10 JUN 2026,2026,1.,dl_meeting
Sinesipho DAMBILE,02 MAR 2002,20.12,RSA,Oslo Bislett Games,10 JUN 2026,2026,2.,dl_meeting
Jereem RICHARDS,13 JAN 1994,20.50,TTO,Oslo Bislett Games,10 JUN 2026,2026,3.,dl_meeting
Reynier MENA,21 NOV 1996,20.53,CUB,Oslo Bislett Games,10 JUN 2026,2026,4.,dl_meeting
Timothé MUMENTHALER,12 DEC 2002,20.58,SUI,Oslo Bislett Games,10 JUN 2026,2026,5.,dl_meeting
Gout GOUT,29 DEC 2007,20.60,AUS,Oslo Bislett Games,10 JUN 2026,2026,6.,dl_meeting
Xavi MO-AJOK,16 SEP 2002,20.89,NED,Oslo Bislett Games,10 JUN 2026,2026,8.,dl_meeting
Sinesipho DAMBILE,02 MAR 2002,19.74,RSA,Doha Meeting,19 JUN 2026,2026,1.,dl_meeting
Makanakaishe CHARAMBA,20 DEC 2001,19.88,ZIM,Doha Meeting,19 JUN 2026,2026,2.,dl_meeting
Alexander OGANDO,03 MAY 2000,19.96,DOM,Doha Meeting,19 JUN 2026,2026,3.,dl_meeting
Prince Phaezel SELEPE,18 FEB 2006,20.01,BOT,Doha Meeting,19 JUN 2026,2026,4.,dl_meeting
Reynier MENA,21 NOV 1996,20.04,CUB,Doha Meeting,19 JUN 2026,2026,5.,dl_meeting
Kyree KING,09 JUL 1994,20.38,USA,Doha Meeting,19 JUN 2026,2026,6.,dl_meeting
Cheickna TRAORE,21 OCT 2000,20.52,CIV,Doha Meeting,19 JUN 2026,2026,7.,dl_meeting
Tate TAYLOR,26 SEP 2007,19.75,USA,Prefontaine Classic,04 JUL 2026,2026,1.,dl_meeting
Letsile TEBOGO,07 JUN 2003,19.93,BOT,Prefontaine Classic,04 JUL 2026,2026,2.,dl_meeting
Makanakaishe CHARAMBA,20 DEC 2001,20.11,ZIM,Prefontaine Classic,04 JUL 2026,2026,3.,dl_meeting
Courtney LINDSEY,18 NOV 1998,20.19,USA,Prefontaine Classic,04 JUL 2026,2026,4.,dl_meeting
Bryan LEVELL,23 DEC 2003,20.20,JAM,Prefontaine Classic,04 JUL 2026,2026,5.,dl_meeting
Zharnel HUGHES,13 JUL 1995,20.26,GBR,Prefontaine Classic,04 JUL 2026,2026,6.,dl_meeting
Sam BLASKOWSKI,05 NOV 2002,20.32,USA,Prefontaine Classic,04 JUL 2026,2026,7.,dl_meeting
José FIGUEROA,14 SEP 2004,20.34,PUR,Prefontaine Classic,04 JUL 2026,2026,8.,dl_meeting
Adrian KERR,07 OCT 2003,20.78,JAM,Prefontaine Classic,04 JUL 2026,2026,9.,dl_meeting
Letsile TEBOGO,07 JUN 2003,19.87,BOT,Athletissima Lausanne,21 AUG 2026,2026,1.,dl_meeting
Sinesipho DAMBILE,02 MAR 2002,19.98,RSA,Athletissima Lausanne,21 AUG 2026,2026,2.,dl_meeting
Makanakaishe CHARAMBA,20 DEC 2001,20.14,ZIM,Athletissima Lausanne,21 AUG 2026,2026,3.,dl_meeting
José FIGUEROA,14 SEP 2004,20.16,PUR,Athletissima Lausanne,21 AUG 2026,2026,4.,dl_meeting
Zharnel HUGHES,13 JUL 1995,20.33,GBR,Athletissima Lausanne,21 AUG 2026,2026,5.,dl_meeting
Timothé MUMENTHALER,12 DEC 2002,20.39,SUI,Athletissima Lausanne,21 AUG 2026,2026,6.,dl_meeting
Courtney LINDSEY,18 NOV 1998,20.61,USA,Athletissima Lausanne,21 AUG 2026,2026,7.,dl_meeting
Brandon HICKLIN,02 APR 1999,20.67,USA,Athletissima Lausanne,21 AUG 2026,2026,8.,dl_meeting
Kenneth BEDNAREK,14 OCT 1998,19.62,USA,Weltklasse Zürich,27 AUG 2026,2026,1.,dl_meeting
Sinesipho DAMBILE,02 MAR 2002,19.82,RSA,Weltklasse Zürich,27 AUG 2026,2026,2.,dl_meeting
Andre DE GRASSE,10 NOV 1994,20.03,CAN,Weltklasse Zürich,27 AUG 2026,2026,3.,dl_meeting
Makanakaishe CHARAMBA,20 DEC 2001,20.10,ZIM,Weltklasse Zürich,27 AUG 2026,2026,4.,dl_meeting
José FIGUEROA,14 SEP 2004,20.32,PUR,Weltklasse Zürich,27 AUG 2026,2026,5.,dl_meeting
Bryan LEVELL,23 DEC 2003,20.32,JAM,Weltklasse Zürich,27 AUG 2026,2026,6.,dl_meeting
Timothé MUMENTHALER,12 DEC 2002,20.34,SUI,Weltklasse Zürich,27 AUG 2026,2026,7.,dl_meeting
Reynier MENA,21 NOV 1996,20.73,CUB,Weltklasse Zürich,27 AUG 2026,2026,8.,dl_meeting
