Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Alison DOS SANTOS,03 JUN 2000,46.72,BRA,Wanda Diamond League Xiamen,23 MAY 2026,2026,1.,dl_meeting
Karsten WARHOLM,28 FEB 1996,46.82,NOR,Wanda Diamond League Xiamen,23 MAY 2026,2026,2.,dl_meeting
Caleb DEAN,20 JUN 2001,47.75,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,3.,dl_meeting
Trevor BASSITT,26 FEB 1998,47.90,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,4.,dl_meeting
Abderrahman SAMBA,05 SEP 1995,47.93,QAT,Wanda Diamond League Xiamen,23 MAY 2026,2026,5.,dl_meeting
Matheus LIMA,01 JUN 2003,48.22,BRA,Wanda Diamond League Xiamen,23 MAY 2026,2026,6.,dl_meeting
CJ ALLEN,14 FEB 1995,49.18,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,7.,dl_meeting
Debin GONG,09 SEP 1997,50.14,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,8.,dl_meeting
Kyron MCMASTER,03 JAN 1997,52.41,IVB,Wanda Diamond League Xiamen,23 MAY 2026,2026,9.,dl_meeting
Alison DOS SANTOS,03 JUN 2000,46.89,BRA,Oslo Bislett Games,10 JUN 2026,2026,1.,dl_meeting
Karsten WARHOLM,28 FEB 1996,47.40,NOR,Oslo Bislett Games,10 JUN 2026,2026,2.,dl_meeting
Caleb DEAN,20 JUN 2001,48.22,USA,Oslo Bislett Games,10 JUN 2026,2026,3.,dl_meeting
Matheus LIMA,01 JUN 2003,48.37,BRA,Oslo Bislett Games,10 JUN 2026,2026,4.,dl_meeting
Emil AGYEKUM,22 MAY 1999,48.40,GER,Oslo Bislett Games,10 JUN 2026,2026,5.,dl_meeting
Abderrahman SAMBA,05 SEP 1995,48.60,QAT,Oslo Bislett Games,10 JUN 2026,2026,6.,dl_meeting
Matic Ian GUČEK,20 SEP 2003,49.31,SLO,Oslo Bislett Games,10 JUN 2026,2026,7.,dl_meeting
Carl BENGTSTRÖM,13 JAN 2000,DQ,SWE,Oslo Bislett Games,10 JUN 2026,2026,,dl_meeting
Karsten WARHOLM,28 FEB 1996,46.61,NOR,Novuna London Athletics Meet,18 JUL 2026,2026,1.,dl_meeting
Emil AGYEKUM,22 MAY 1999,47.45,GER,Novuna London Athletics Meet,18 JUL 2026,2026,2.,dl_meeting
Abderrahman SAMBA,05 SEP 1995,48.10,QAT,Novuna London Athletics Meet,18 JUL 2026,2026,3.,dl_meeting
Ezekiel NATHANIEL,20 JUN 2003,48.30,NGR,Novuna London Athletics Meet,18 JUL 2026,2026,4.,dl_meeting
Matheus LIMA,01 JUN 2003,48.33,BRA,Novuna London Athletics Meet,18 JUL 2026,2026,5.,dl_meeting
Alastair CHALMERS,31 MAR 2000,48.81,GBR,Novuna London Athletics Meet,18 JUL 2026,2026,6.,dl_meeting
Caleb DEAN,20 JUN 2001,50.45,USA,Novuna London Athletics Meet,18 JUL 2026,2026,7.,dl_meeting
Alison DOS SANTOS,03 JUN 2000,46.43,BRA,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,1.,dl_meeting
Karsten WARHOLM,28 FEB 1996,46.52,NOR,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,2.,dl_meeting
Matheus LIMA,01 JUN 2003,47.26,BRA,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,3.,dl_meeting
Ezekiel NATHANIEL,20 JUN 2003,47.83,NGR,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,4.,dl_meeting
Oskar EDLUND,16 NOV 2002,48.34,SWE,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,5.,dl_meeting
İsmail NEZIR,22 JAN 2003,48.46,TUR,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,6.,dl_meeting
Abderrahman SAMBA,05 SEP 1995,48.64,QAT,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,7.,dl_meeting
Trevor BASSITT,26 FEB 1998,48.71,USA,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,8.,dl_meeting
Caleb DEAN,20 JUN 2001,DNF,USA,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,,dl_meeting
Alison DOS SANTOS,03 JUN 2000,45.80,BRA,Weltklasse Zürich,27 AUG 2026,2026,1.,dl_meeting
Karsten WARHOLM,28 FEB 1996,46.69,NOR,Weltklasse Zürich,27 AUG 2026,2026,2.,dl_meeting
Ezekiel NATHANIEL,20 JUN 2003,47.50,NGR,Weltklasse Zürich,27 AUG 2026,2026,3.,dl_meeting
Matheus LIMA,01 JUN 2003,47.57,BRA,Weltklasse Zürich,27 AUG 2026,2026,4.,dl_meeting
Abderrahman SAMBA,05 SEP 1995,47.77,QAT,Weltklasse Zürich,27 AUG 2026,2026,5.,dl_meeting
Matic Ian GUČEK,20 SEP 2003,47.80,SLO,Weltklasse Zürich,27 AUG 2026,2026,6.,dl_meeting
Dany BRAND,23 FEB 1996,48.92,SUI,Weltklasse Zürich,27 AUG 2026,2026,7.,dl_meeting
Chris ROBINSON,19 FEB 2001,51.41,USA,Weltklasse Zürich,27 AUG 2026,2026,8.,dl_meeting
