Rank,Mark,wind,athlete_name,dob,country,pos,venue,date,results_score,year,discipline_key,discipline_label,age,wind_legal
15,9.76,1.2,Trayvon BROMELL,1995-07-10,USA,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2021-09-18,1291,2021,men_100m,Men 100m,26.2,True
15,9.76,1.4,Fred KERLEY,1995-05-07,USA,1sf1,"Hayward Field, Eugene, OR (USA)",2022-06-24,1291,2022,men_100m,Men 100m,27.1,True
22,9.77,1.5,Trayvon BROMELL,1995-07-10,USA,1f2,"Ansin Sports Complex, Miramar, FL (USA)",2021-06-05,1287,2021,men_100m,Men 100m,25.9,True
22,9.77,1.2,Ferdinand OMANYALA,1996-01-02,KEN,2,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2021-09-18,1287,2021,men_100m,Men 100m,25.7,True
22,9.77,1.8,Fred KERLEY,1995-05-07,USA,1,"Hayward Field, Eugene, OR (USA)",2022-06-24,1287,2022,men_100m,Men 100m,27.1,True
40,9.79,0.1,Fred KERLEY,1995-05-07,USA,1h2,"Hayward Field, Eugene, OR (USA)",2022-07-15,1280,2022,men_100m,Men 100m,27.2,True
49,9.8,0.8,Trayvon BROMELL,1995-07-10,USA,1,"Hayward Field, Eugene, OR (USA)",2021-06-20,1276,2021,men_100m,Men 100m,25.9,True
49,9.8,0.1,Lamont Marcell JACOBS,1994-09-26,ITA,1,"National Stadium, Tokyo (JPN)",2021-08-01,1276,2021,men_100m,Men 100m,26.8,True
58,9.81,1.5,Trayvon BROMELL,1995-07-10,USA,1sf2,"Hayward Field, Eugene, OR (USA)",2022-06-24,1273,2022,men_100m,Men 100m,27.0,True
76,9.83,0.9,Bingtian SU,1989-08-29,CHN,1sf3,"National Stadium, Tokyo (JPN)",2021-08-01,1266,2021,men_100m,Men 100m,31.9,True
76,9.83,0.9,Ronnie BAKER,1993-10-15,USA,2sf3,"National Stadium, Tokyo (JPN)",2021-08-01,1266,2021,men_100m,Men 100m,27.8,True
76,9.83,1.5,Fred KERLEY,1995-05-07,USA,1h2,"Hayward Field, Eugene, OR (USA)",2022-06-23,1266,2022,men_100m,Men 100m,27.1,True
76,9.83,1.3,Zharnel HUGHES,1995-07-13,GBR,1,"Icahn Stadium, New York, NY (USA)",2023-06-24,1266,2023,men_100m,Men 100m,27.9,True
86,9.84,1.2,Akani SIMBINE,1993-09-21,RSA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1262,2021,men_100m,Men 100m,27.8,True
86,9.84,0.1,Fred KERLEY,1995-05-07,USA,2,"National Stadium, Tokyo (JPN)",2021-08-01,1262,2021,men_100m,Men 100m,26.2,True
